"ID";"wildsoort";"afschotjaar";"afschot_datum";"provincie";"geslacht.MF";"leeftijdscategorie_MF";"ontweid_gewicht";"aantal_embryos_onbekend";"aantal_embryos";"onderkaaklengte_links";"onderkaaklengte_rechts";"doodsoorzaak";"leeftijd_maanden";"lengte_mm";"Leeftijdscategorie_onderkaak"
19444;"Ree";2015;"2015-03-30";"Antwerpen";"Vrouwelijk";"Kits";12;FALSE;0;138;137;"afschot";NA;138;"Kits"
19445;"Ree";2016;"2016-02-19";"Antwerpen";"Mannelijk";"Kits";9,5;TRUE;NA;111;111;"afschot";9;142;"Kits"
19446;"Ree";2015;"2015-03-07";"Oost-Vlaanderen";"Vrouwelijk";"Jongvolwassen";16,5;FALSE;0;165;165;"afschot";NA;NA;"Niet ingezameld"
19447;"Ree";2014;"2014-03-02";"Antwerpen";"Vrouwelijk";"Volwassen";17;FALSE;3;153;153;"afschot";NA;NA;"Niet ingezameld"
19448;"Ree";2014;"2014-01-03";"Limburg";"Vrouwelijk";"Volwassen";15;FALSE;2;120;120;"afschot";NA;NA;"Niet ingezameld"
19449;"Ree";2016;"2016-01-23";"Limburg";"Vrouwelijk";"Volwassen";15,5;FALSE;2;142;142;"afschot";34;158;"Adult"
19450;"Ree";2017;"2017-03-23";"Antwerpen";"Vrouwelijk";"Kits";14;FALSE;NA;148;NA;"afschot";NA;NA;"Niet ingezameld"
19451;"Ree";2015;"2015-05-02";"Limburg";"Mannelijk";"Volwassen";20,5;NA;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
19452;"Ree";2017;"2017-02-21";"Limburg";"Mannelijk";"Kits";8;TRUE;NA;134;NA;"afschot";NA;NA;"Niet ingezameld"
19453;"Wild zwijn";2014;"2014-01-26";"Antwerpen";"Vrouwelijk";"Volwassen";53;FALSE;6;NA;NA;"afschot";25;NA;"Adult"
19454;"Ree";2017;"2017-03-23";"Limburg";"Vrouwelijk";"Volwassen";14,5;FALSE;2;150;NA;"afschot";NA;NA;"Niet ingezameld"
19455;"Ree";2016;"2016-03-05";"Vlaams-Brabant";"Mannelijk";"Kits";14;TRUE;NA;150;150;"afschot";10;150;"Kits"
19456;"Wild zwijn";2014;"2014-04-18";"Limburg";"Mannelijk";"Frisling";44;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19457;"Wild zwijn";2014;"2014-01-18";"Limburg";"Vrouwelijk";"Frisling";28;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19458;"Ree";2014;"2014-03-01";"Oost-Vlaanderen";"Vrouwelijk";"Jongvolwassen";15,1;FALSE;2;161;161;"afschot";NA;NA;"Niet ingezameld"
19459;"Wild zwijn";2016;"2016-06-27";"Limburg";"Mannelijk";"Overloper";55;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19460;"Ree";2017;"2017-03-30";"Antwerpen";"Vrouwelijk";"Kits";12;FALSE;0;141;NA;"afschot";NA;NA;"Niet ingezameld"
19461;"Ree";2016;"2016-03-14";"Limburg";"Vrouwelijk";"Kits";12;TRUE;NA;NA;NA;"afschot";9;143;"Kits"
19462;"Ree";2014;"2014-08-15";"Antwerpen";"Mannelijk";"Volwassen";16,5;NA;NA;180;180;"afschot";NA;NA;"Niet ingezameld"
19463;"Ree";2017;"2017-03-10";"Oost-Vlaanderen";"Mannelijk";"Kits";14,8;TRUE;NA;152;NA;"afschot";NA;NA;"Niet ingezameld"
19464;"Wild zwijn";2015;"2015-01-04";"Voeren";"Vrouwelijk";"Volwassen";54;FALSE;4;NA;NA;"afschot";10;NA;"Frisling"
19465;"Ree";2017;"2017-02-16";"Antwerpen";"Vrouwelijk";"Kits";10;FALSE;0;137;NA;"afschot";NA;NA;"Niet ingezameld"
19466;"Ree";2016;"2016-02-28";"Oost-Vlaanderen";"Vrouwelijk";"Kits";12,2;FALSE;0;145;145;"afschot";10;143;"Kits"
19467;"Ree";2014;"2014-07-30";"Antwerpen";"Mannelijk";"Volwassen";19,1;TRUE;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
19468;"Wild zwijn";2016;"2016-02-28";"Limburg";"Mannelijk";"Frisling";45;TRUE;NA;NA;NA;"afschot";9;NA;"Frisling"
19469;"Ree";2016;"2016-07-29";"Vlaams-Brabant";"Mannelijk";"Volwassen";21;TRUE;NA;183;NA;"afschot";NA;NA;"Niet ingezameld"
19470;"Ree";2017;"2017-03-05";"Oost-Vlaanderen";"Mannelijk";"Kits";9,3;TRUE;NA;145;NA;"afschot";NA;NA;"Niet ingezameld"
19471;"Ree";2015;"2015-03-28";"Limburg";"Mannelijk";"Kits";13,5;NA;NA;142;142;"afschot";NA;NA;"Niet ingezameld"
19472;"Ree";2016;"2016-05-05";"Limburg";"Mannelijk";"Jongvolwassen";15;TRUE;NA;162;162;"afschot";NA;NA;"Niet ingezameld"
19473;"Ree";2017;"2017-01-03";"Limburg";"Mannelijk";"Kits";9,4;TRUE;NA;144;NA;"afschot";NA;NA;"Niet ingezameld"
19474;"Wild zwijn";2011;"2011-10-27";"Voeren";"Mannelijk";"Adult";NA;NA;NA;NA;NA;"afschot";35;NA;"Frisling"
19475;"Ree";2017;"2017-02-03";"Limburg";"Vrouwelijk";"Kits";11;FALSE;0;123;NA;"afschot";NA;NA;"Niet ingezameld"
19476;"Ree";2015;"2015-06-01";"Limburg";"Mannelijk";"Volwassen";16,8;TRUE;NA;165;165;"afschot";NA;NA;"Niet ingezameld"
19477;"Ree";2014;"2014-06-18";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";13;TRUE;NA;144;144;"afschot";NA;NA;"Niet ingezameld"
19478;"Ree";2016;"2016-03-22";"Antwerpen";"Vrouwelijk";"Volwassen";15,6;FALSE;2;155;155;"afschot";19;NA;"Jongvolwassen"
19479;"Ree";2014;"2014-05-25";"Limburg";"Mannelijk";"Jongvolwassen";15;NA;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
19480;"Ree";2017;"2017-02-19";"Limburg";"Vrouwelijk";"Kits";14;FALSE;0;120;NA;"afschot";NA;NA;"Niet ingezameld"
19481;"Ree";2015;"2015-01-18";"Vlaams-Brabant";"Mannelijk";"Kits";13,1;TRUE;NA;131;131;"afschot";NA;NA;"Niet ingezameld"
19482;"Ree";2016;"2016-03-01";"Limburg";"Vrouwelijk";"Kits";14;FALSE;0;162;162;"afschot";12;158;"Kits"
19483;"Ree";2017;"2017-01-03";"Vlaams-Brabant";"Mannelijk";"Kits";14;TRUE;NA;141;NA;"afschot";NA;NA;"Niet ingezameld"
19484;"Ree";2016;"2016-03-28";"Limburg";"Vrouwelijk";"Volwassen";12;FALSE;0;160;160;"afschot";34;153;"Adult"
19485;"Ree";2015;"2015-07-31";"Limburg";"Mannelijk";"Volwassen";16,5;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19486;"Ree";2017;"2017-01-01";"Limburg";"Vrouwelijk";"Volwassen";16,3;FALSE;2;164;NA;"afschot";NA;NA;"Niet ingezameld"
19487;"Wild zwijn";2014;"2014-09-28";"Antwerpen";"Vrouwelijk";"Frisling";32;FALSE;0;NA;NA;"afschot";18;NA;"Overloper"
19488;"Ree";2015;"2015-03-14";"Vlaams-Brabant";"Mannelijk";"Kits";9,5;TRUE;NA;145;145;"afschot";NA;136;"Kits"
19489;"Ree";2016;"2016-03-18";"Limburg";"Vrouwelijk";"Kits";12,5;FALSE;NA;145;NA;"afschot";11;145;"Kits"
19490;"Ree";2016;"2016-09-09";"Antwerpen";"Mannelijk";"Volwassen";17,5;TRUE;NA;158;155;"afschot";NA;NA;"Niet ingezameld"
19491;"Ree";2016;"2016-02-01";"Vlaams-Brabant";"Vrouwelijk";"Kits";10,7;FALSE;0;145;145;"afschot";10;146;"Kits"
19492;"Ree";2016;"2016-03-29";"Vlaams-Brabant";"Vrouwelijk";"Kits";11,1;FALSE;0;135;135;"afschot";10;135;"Kits"
19493;"Ree";2014;"2014-03-26";"Limburg";"Vrouwelijk";"Kits";12;FALSE;NA;138;138;"afschot";NA;NA;"Niet ingezameld"
19494;"Ree";2015;"2015-08-28";"Antwerpen";"Mannelijk";"Volwassen";17,1;TRUE;NA;164;164;"afschot";NA;NA;"Niet ingezameld"
19495;"Ree";2016;"2016-01-23";"Limburg";"Vrouwelijk";"Kits";13,6;FALSE;0;145;145;"afschot";9;144;"Kits"
19496;"Ree";2017;"2017-02-11";"Limburg";"Vrouwelijk";"Volwassen";11;FALSE;0;156;NA;"afschot";NA;NA;"Niet ingezameld"
19497;"Ree";2016;"2016-03-11";"Antwerpen";"Vrouwelijk";"Volwassen";20,5;FALSE;2;157;158;"afschot";46;157;"Adult"
19498;"Ree";2014;"2014-01-10";"Limburg";"Mannelijk";"Kits";6;NA;NA;137;137;"afschot";NA;NA;"Niet ingezameld"
19499;"Ree";2015;"2015-08-15";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";19,5;TRUE;NA;164;164;"afschot";NA;NA;"Niet ingezameld"
19500;"Ree";2017;"2017-03-28";"Antwerpen";"Vrouwelijk";"Jongvolwassen";17,2;FALSE;1;162;NA;"afschot";NA;NA;"Niet ingezameld"
19501;"Wild zwijn";2013;"2013-06-07";"Limburg";"Mannelijk";"Overloper";45;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19502;"Wild zwijn";2015;"2015-01-04";"Limburg";"Mannelijk";"Overloper";47;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19503;"Wild zwijn";2016;"2016-07-12";"Limburg";"Mannelijk";"Overloper";40;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19504;"Ree";2016;"2016-07-30";"West-Vlaanderen";"Mannelijk";"Volwassen";19;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19505;"Ree";2014;"2014-01-27";"Vlaams-Brabant";"Vrouwelijk";"Kits";10;TRUE;NA;142;142;"afschot";NA;NA;"Niet ingezameld"
19506;"Wild zwijn";2016;"2016-05-31";"Limburg";"Mannelijk";"Overloper";55;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19507;"Ree";2016;"2016-08-09";"Vlaams-Brabant";"Mannelijk";"Volwassen";19;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19508;"Wild zwijn";2017;"2017-01-08";"Limburg";"Vrouwelijk";"Frisling";30;FALSE;0;NA;NA;"afschot";10;NA;"Frisling"
19509;"Ree";2014;"2014-03-17";"Voeren";"Vrouwelijk";"Jongvolwassen";16;FALSE;0;145;145;"afschot";NA;NA;"Niet ingezameld"
19510;"Ree";2014;"2014-06-06";"Antwerpen";"Mannelijk";"Volwassen";20,5;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19511;"Ree";2015;"2015-02-28";"Vlaams-Brabant";"Vrouwelijk";"Jongvolwassen";11;FALSE;1;143;143;"afschot";NA;NA;"Niet ingezameld"
19512;"Wild zwijn";2009;"2009-04-06";"Voeren";"Mannelijk";"Overloper";31;NA;NA;NA;NA;"afschot";9;NA;"Overloper"
19513;"Wild zwijn";2012;"2012-05-03";"Limburg";"Mannelijk";"Frisling";3;NA;NA;NA;NA;"afschot";1;NA;"Overloper"
19514;"Ree";2017;"2017-01-31";"Antwerpen";"Mannelijk";"Kits";11,8;TRUE;NA;111;NA;"afschot";NA;NA;"Niet ingezameld"
19515;"Ree";2017;"2017-03-28";"Vlaams-Brabant";"Vrouwelijk";"Kits";12;FALSE;0;140;NA;"afschot";NA;NA;"Niet ingezameld"
19516;"Ree";2015;"2015-03-01";"Vlaams-Brabant";"Vrouwelijk";"Kits";9,2;FALSE;0;134;130;"afschot";NA;134;"Kits"
19517;"Wild zwijn";2012;"2012-04-30";"West-Vlaanderen";"Vrouwelijk";"Adult";55;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19518;"Ree";2015;"2015-03-17";"Oost-Vlaanderen";"Mannelijk";"Kits";13,5;TRUE;NA;148;148;"afschot";NA;147;"Kits"
19519;"Ree";2015;"2015-03-23";"Limburg";"Vrouwelijk";"Jongvolwassen";14,5;FALSE;2;128;128;"afschot";NA;NA;"Niet ingezameld"
19520;"Ree";2014;"2014-01-26";"Antwerpen";"Vrouwelijk";"Kits";12,5;FALSE;NA;144;144;"afschot";NA;NA;"Niet ingezameld"
19521;"Ree";2014;"2014-03-16";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";18,6;FALSE;2;167;168;"afschot";NA;NA;"Niet ingezameld"
19522;"Wild zwijn";2008;"2008-11-19";"Limburg";"Mannelijk";NA;NA;NA;NA;NA;NA;"valwild";7;NA;"Overloper"
19523;"Wild zwijn";2016;"2016-01-21";"Vlaams-Brabant";"Mannelijk";"Volwassen";50;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19524;"Ree";2017;"2017-03-03";"Antwerpen";"Vrouwelijk";"Kits";11,8;FALSE;0;137;NA;"afschot";NA;NA;"Niet ingezameld"
19525;"Ree";2014;"2014-03-13";"Vlaams-Brabant";"Mannelijk";"Kits";13;TRUE;NA;160;157;"afschot";NA;NA;"Niet ingezameld"
19526;"Ree";2016;"2016-02-11";"Oost-Vlaanderen";"Mannelijk";"Kits";14;TRUE;NA;142;143;"afschot";10;143;"Kits"
19527;"Ree";2016;"2016-02-27";"Antwerpen";"Vrouwelijk";"Volwassen";18,5;FALSE;0;155;155;"afschot";19;151;"Jongvolwassen"
19528;"Ree";2015;"2015-07-01";"Limburg";"Mannelijk";"Volwassen";21;TRUE;NA;155;157;"afschot";NA;NA;"Niet ingezameld"
19529;"Ree";2014;"2014-06-29";"Antwerpen";"Mannelijk";"Jongvolwassen";13,5;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
19530;"Wild zwijn";2015;"2015-12-06";"Antwerpen";"Vrouwelijk";"Frisling";28;FALSE;4;NA;NA;"afschot";9;NA;"Frisling"
19531;"Ree";2014;"2014-03-05";"Limburg";"Mannelijk";"Kits";9;NA;NA;136;136;"afschot";NA;NA;"Niet ingezameld"
19532;"Ree";2017;"2017-03-10";"Antwerpen";"Vrouwelijk";"Volwassen";18,2;FALSE;3;153;NA;"afschot";NA;NA;"Niet ingezameld"
19533;"Ree";2015;"2015-08-02";"Vlaams-Brabant";"Mannelijk";"Volwassen";20,5;TRUE;NA;158;158;"afschot";NA;NA;"Niet ingezameld"
19534;"Ree";2016;"2016-08-25";"Antwerpen";"Mannelijk";"Volwassen";14;TRUE;NA;145;144;"afschot";NA;NA;"Niet ingezameld"
19535;"Ree";2014;"2014-01-25";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";15;FALSE;1;159;159;"afschot";NA;NA;"Niet ingezameld"
19536;"Ree";2014;"2014-08-22";"Antwerpen";"Mannelijk";"Volwassen";23;TRUE;NA;167;167;"afschot";NA;NA;"Niet ingezameld"
19537;"Damhert";2013;"2013-03-16";"Oost-Vlaanderen";"Mannelijk";"Adult";40;NA;NA;NA;NA;"afschot";35;NA;"Kits"
19538;"Ree";2015;"2015-09-14";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";20,4;TRUE;NA;151;NA;"afschot";NA;NA;"Niet ingezameld"
19539;"Ree";2017;"2017-03-19";"Antwerpen";"Vrouwelijk";"Kits";9;FALSE;0;147;NA;"afschot";NA;NA;"Niet ingezameld"
19540;"Ree";2017;"2017-02-18";"West-Vlaanderen";"Vrouwelijk";"Volwassen";20;FALSE;2;164;NA;"afschot";NA;NA;"Niet ingezameld"
19541;"Wild zwijn";2011;"2011-05-16";"West-Vlaanderen";"Vrouwelijk";"Adult";79;NA;NA;NA;NA;"afschot";47;NA;"Frisling"
19542;"Wild zwijn";2013;"2013-01-21";"Limburg";"Mannelijk";"Adult";48;NA;NA;NA;NA;"afschot";10;NA;"Overloper"
19543;"Ree";2015;"2015-03-07";"Antwerpen";"Vrouwelijk";"Volwassen";15;FALSE;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
19544;"Ree";2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";9;150;"Kits"
19545;"Ree";2014;"2014-05-06";"Antwerpen";"Mannelijk";"Volwassen";16,8;TRUE;NA;100;100;"afschot";50;160;"Adult"
19546;"Ree";2017;"2017-02-14";"Limburg";"Mannelijk";"Kits";14;TRUE;NA;142;NA;"afschot";NA;NA;"Niet ingezameld"
19547;"Ree";2016;"2016-03-27";"Vlaams-Brabant";"Mannelijk";"Kits";13,8;TRUE;NA;139;139;"afschot";11;140;"Kits"
19548;"Ree";2016;"2016-05-15";"Limburg";"Mannelijk";"Jongvolwassen";11;TRUE;NA;142;142;"afschot";NA;NA;"Niet ingezameld"
19549;"Ree";2017;"2017-02-28";"Limburg";"Mannelijk";"Kits";12;TRUE;NA;138;NA;"afschot";NA;NA;"Niet ingezameld"
19550;"Ree";2016;"2016-02-27";"Limburg";"Vrouwelijk";"Kits";11;FALSE;0;150;150;"afschot";10;145;"Kits"
19551;"Ree";2015;"2015-02-11";"Oost-Vlaanderen";"Mannelijk";"Kits";8,5;TRUE;NA;129;129;"afschot";NA;131;"Kits"
19552;"Ree";2015;"2015-02-02";"Antwerpen";"Vrouwelijk";"Kits";10,5;FALSE;0;111;111;"afschot";10;144;"Kits"
19553;"Ree";2016;"2016-03-10";"Antwerpen";"Vrouwelijk";"Kits";13,5;TRUE;NA;143;143;"afschot";10;150;"Kits"
19554;"Ree";2015;"2015-09-10";"Antwerpen";"Mannelijk";"Jongvolwassen";18,2;TRUE;NA;156;NA;"afschot";NA;NA;"Niet ingezameld"
19555;"Ree";2017;"2017-02-18";"Antwerpen";"Mannelijk";"Kits";14;TRUE;NA;150;NA;"afschot";NA;NA;"Niet ingezameld"
19556;"Ree";2015;"2015-02-11";"West-Vlaanderen";"Mannelijk";"Kits";14,3;TRUE;NA;146;146;"afschot";NA;142;"Kits"
19557;"Ree";2015;"2015-03-28";"Limburg";"Vrouwelijk";"Kits";13;FALSE;0;147;147;"afschot";NA;NA;"Niet ingezameld"
19558;"Ree";2016;"2016-02-27";"West-Vlaanderen";"Vrouwelijk";"Jongvolwassen";16;FALSE;2;172;172;"afschot";NA;NA;"Niet ingezameld"
19559;"Ree";2014;"2014-02-28";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";17,5;FALSE;2;175;175;"afschot";NA;NA;"Niet ingezameld"
19560;"Wild zwijn";2012;"2012-11-02";"Limburg";"Vrouwelijk";"Frisling";27;NA;NA;NA;NA;"afschot";6;NA;"Overloper"
19561;"Ree";2015;"2015-03-02";"Antwerpen";"Mannelijk";"Kits";15,5;NA;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
19562;"Ree";2017;"2017-02-17";"Limburg";"Vrouwelijk";"Kits";7;FALSE;NA;120;NA;"afschot";NA;NA;"Niet ingezameld"
19563;"Ree";2014;"2014-09-07";"Antwerpen";"Mannelijk";"Volwassen";21,5;TRUE;NA;164;163;"afschot";NA;NA;"Niet ingezameld"
19564;"Ree";2016;"2016-01-14";"Vlaams-Brabant";"Mannelijk";"Kits";13;TRUE;NA;140;140;"afschot";10;131;"Kits"
19565;"Ree";2015;"2015-05-08";"Limburg";"Mannelijk";"Volwassen";15,1;TRUE;NA;154;154;"afschot";NA;NA;"Niet ingezameld"
19566;"Ree";2017;"2017-01-08";"Limburg";"Vrouwelijk";"Volwassen";16;TRUE;NA;161;NA;"afschot";NA;NA;"Niet ingezameld"
19567;"Ree";2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";NA;134;"Kits"
19568;"Ree";2014;"2014-03-08";"Antwerpen";"Vrouwelijk";"Volwassen";17;FALSE;2;160;160;"afschot";NA;NA;"Niet ingezameld"
19569;"Ree";2016;"2016-02-02";"Vlaams-Brabant";"Vrouwelijk";"Kits";12,4;FALSE;0;142;142;"afschot";NA;NA;"Niet ingezameld"
19570;"Ree";2015;"2015-08-11";"Limburg";"Mannelijk";"Volwassen";16,1;NA;NA;160;156;"afschot";NA;NA;"Niet ingezameld"
19571;"Ree";2014;"2014-02-01";"Limburg";"Mannelijk";"Kits";11;NA;NA;143;144;"afschot";NA;NA;"Niet ingezameld"
19572;"Ree";2014;"2014-02-25";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";17,5;FALSE;2;150;152;"afschot";NA;NA;"Niet ingezameld"
19573;"Wild zwijn";2012;"2012-03-02";"Voeren";"Vrouwelijk";"Adult";45;NA;NA;NA;NA;"afschot";12;NA;"Overloper"
19574;"Ree";2016;"2016-06-04";"Limburg";"Mannelijk";"Volwassen";17;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
19575;"Ree";2017;"2017-03-12";"Limburg";"Vrouwelijk";"Volwassen";15,5;FALSE;1;160;NA;"afschot";NA;NA;"Niet ingezameld"
19576;"Ree";2017;"2017-02-14";"Antwerpen";"Vrouwelijk";"Kits";11,5;FALSE;0;146;NA;"afschot";NA;NA;"Niet ingezameld"
19577;"Wild zwijn";2014;"2014-07-23";"Limburg";"Vrouwelijk";"Volwassen";30;TRUE;NA;NA;NA;"afschot";16;NA;"Overloper"
19578;"Ree";2016;"2016-03-31";"Limburg";"Mannelijk";"Kits";11;TRUE;NA;143;143;"afschot";9;141;"Kits"
19579;"Ree";2015;"2015-03-31";"Limburg";"Vrouwelijk";"Kits";11,2;FALSE;NA;130;130;"afschot";NA;NA;"Niet ingezameld"
19580;"Ree";2016;"2016-05-27";"Vlaams-Brabant";"Mannelijk";"Volwassen";20,5;TRUE;NA;156;158;"afschot";NA;NA;"Niet ingezameld"
19581;"Ree";2015;"2015-05-16";"Vlaams-Brabant";"Mannelijk";"Volwassen";19;TRUE;NA;148;147;"afschot";NA;NA;"Niet ingezameld"
19582;"Ree";2014;"2014-02-02";"Voeren";"Vrouwelijk";"Volwassen";17;FALSE;1;180;180;"afschot";NA;NA;"Niet ingezameld"
19583;"Ree";2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";10;143;"Kits"
19584;"Ree";2016;"2016-03-15";"West-Vlaanderen";"Vrouwelijk";"Jongvolwassen";15,2;FALSE;NA;152;151;"afschot";NA;NA;"Niet ingezameld"
19585;"Ree";2016;"2016-10-02";"Antwerpen";"Mannelijk";"Volwassen";17,8;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
19586;"Ree";2014;"2014-01-17";"Limburg";"Vrouwelijk";"Volwassen";19;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19587;"Ree";2017;"2017-03-11";"Limburg";"Mannelijk";"Kits";12,8;TRUE;NA;154;NA;"afschot";NA;NA;"Niet ingezameld"
19588;"Wild zwijn";2016;NA;"Limburg";NA;NA;NA;NA;NA;NA;NA;"afschot";5;NA;"Frisling"
19589;"Ree";2017;"2017-03-21";"Vlaams-Brabant";"Vrouwelijk";"Jongvolwassen";17,1;FALSE;1;150;NA;"afschot";NA;NA;"Niet ingezameld"
19590;"Ree";2017;"2017-03-22";"Antwerpen";"Vrouwelijk";"Volwassen";16,8;FALSE;2;155;NA;"afschot";NA;NA;"Niet ingezameld"
19591;"Wild zwijn";2011;"2011-02-18";"Limburg";"Mannelijk";"Adult";91;NA;NA;NA;NA;"afschot";25;NA;"Frisling"
19592;"Ree";2014;"2014-02-14";"Limburg";"Vrouwelijk";"Volwassen";15,2;FALSE;2;150;150;"afschot";NA;NA;"Niet ingezameld"
19593;"Ree";2017;"2017-03-19";"Vlaams-Brabant";"Mannelijk";"Kits";13,2;TRUE;NA;151;NA;"afschot";NA;NA;"Niet ingezameld"
19594;"Ree";2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";NA;151;"Kits"
19595;"Ree";2017;"2017-02-07";"Limburg";"Vrouwelijk";"Kits";12;FALSE;0;142;NA;"afschot";NA;NA;"Niet ingezameld"
19596;"Ree";2016;"2016-03-03";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";15,1;FALSE;2;152;152;"afschot";34;153;"Adult"
19597;"Ree";2015;"2015-06-16";"Limburg";"Mannelijk";"Volwassen";14,3;TRUE;NA;149;148;"afschot";NA;NA;"Niet ingezameld"
19598;"Wild zwijn";2016;"2016-11-24";"Antwerpen";"Vrouwelijk";"Frisling";40;TRUE;NA;NA;NA;"valwild";NA;NA;"Niet ingezameld"
19599;"Ree";2014;"2014-03-13";"Limburg";"Mannelijk";"Kits";9;NA;NA;138;138;"afschot";NA;NA;"Niet ingezameld"
19600;"Ree";2014;"2014-03-24";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";16,8;FALSE;1;150;150;"afschot";NA;NA;"Niet ingezameld"
19601;"Ree";2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";19;151;"Jongvolwassen"
19602;"Ree";2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";34;149;"Adult"
19603;"Ree";2014;"2014-05-04";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";17;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
19604;"Ree";2015;"2015-08-07";"Antwerpen";"Mannelijk";"Volwassen";15,5;NA;NA;142;143;"afschot";NA;NA;"Niet ingezameld"
19605;"Ree";2015;"2015-07-26";"Limburg";"Mannelijk";"Volwassen";13,5;TRUE;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
19606;"Wild zwijn";2012;"2012-05-16";"Limburg";"Mannelijk";"Frisling";41;NA;NA;NA;NA;"afschot";11;NA;"Overloper"
19607;"Ree";2014;"2014-08-16";"Limburg";"Mannelijk";"Volwassen";17,6;NA;NA;148;149;"afschot";NA;NA;"Niet ingezameld"
19608;"Ree";2014;"2014-05-05";"Antwerpen";"Mannelijk";"Volwassen";17,1;TRUE;NA;100;100;"afschot";25;155;"Adult"
19609;"Ree";2014;"2014-03-30";"Limburg";"Vrouwelijk";"Jongvolwassen";14,5;FALSE;2;115;115;"afschot";NA;NA;"Niet ingezameld"
19610;"Wild zwijn";2016;"2016-05-24";"Antwerpen";"Mannelijk";"Volwassen";76,5;TRUE;NA;NA;NA;"afschot";23;NA;"Overloper"
19611;"Ree";2017;"2017-02-02";"Voeren";"Vrouwelijk";"Volwassen";17;FALSE;2;165;NA;"afschot";NA;NA;"Niet ingezameld"
19612;"Wild zwijn";2014;"2014-10-18";"Limburg";"Vrouwelijk";"Frisling";20;FALSE;NA;NA;NA;"afschot";5;NA;"Frisling"
19613;"Ree";2015;"2015-03-16";"Limburg";"Mannelijk";"Kits";12;TRUE;NA;153;153;"afschot";NA;145;"Kits"
19614;"Ree";2016;"2016-02-07";"Vlaams-Brabant";"Mannelijk";"Kits";14,5;TRUE;NA;148;148;"afschot";11;148;"Kits"
19615;"Wild zwijn";2015;"2015-11-23";"Limburg";"Vrouwelijk";"Overloper";55;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
19616;"Ree";2017;"2017-02-02";"Limburg";"Mannelijk";"Kits";8,5;TRUE;NA;145;NA;"afschot";NA;NA;"Niet ingezameld"
19617;"Ree";2014;"2014-01-05";"Antwerpen";"Mannelijk";"Kits";13,2;TRUE;NA;142;142;"afschot";NA;NA;"Niet ingezameld"
19618;"Wild zwijn";2015;"2015-02-27";"Limburg";"Vrouwelijk";"Volwassen";59;FALSE;0;NA;NA;"afschot";22;NA;"Overloper"
19619;"Wild zwijn";2015;"2015-01-24";"Antwerpen";"Mannelijk";"Frisling";15;TRUE;NA;NA;NA;"afschot";3;NA;"Frisling"
19620;"Ree";2014;"2014-02-20";"Oost-Vlaanderen";"Vrouwelijk";"Kits";11,5;FALSE;0;138;138;"afschot";NA;NA;"Niet ingezameld"
19621;"Ree";2015;"2015-03-24";"Limburg";"Vrouwelijk";"Volwassen";19,5;FALSE;2;152;152;"afschot";NA;NA;"Niet ingezameld"
